,Name,Minimum Alpha Acid %,Maximum Alpha Acid %,Possible Substitution,Flavor Description,Beer Styles
112,Brewer’s Gold,7.0,10.0,Bullion,Bittering hop with neutral aroma character.,india-pale-ale
113,Brewer’s Gold,6.0,7.0,"Bullion, Galena, Northdown, Northern Brewer","Black currant, fruity, spicy.",india-pale-ale
114,Bullion,6.5,9.0,"Columbus, Northern Brewer",A rich hop primarily used for bittering. Intense blackcurrant aroma.,india-pale-ale
115,Calypso,12.0,14.0,,"Exhibits pleasant fruity notes-apple, pear, fruit punch.",india-pale-ale
116,Cascade,4.5,7.0,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor.",india-pale-ale
117,Cascade,6.0,8.0,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character.",india-pale-ale
118,Cashmere,7.7,9.1,,"This dual purpose variety is an offspring of Cascade and Northern Brewer. Cashmere has aroma and flavor characteristics of melon, lemon, lime, herbs, and citrus fruits.",india-pale-ale
119,Centennial,8.0,11.5,"Cascade, possibly Columbus",Medium with floral and citrus tones.,india-pale-ale
120,Challenger,6.5,8.5,"Northern Brewer, U.S. or German Perle","Mild to moderate, quite spicy.",india-pale-ale
121,Chinook,10.0,14.0,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity.",india-pale-ale
122,Citra®,11.0,13.0,,Intense citrusy flavor.,india-pale-ale
123,Cluster,5.5,8.5,Galena,Medium and quite spicy.,india-pale-ale
124,Columbus,11.0,16.0,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma.",india-pale-ale
125,Comet,9.0,11.0,,"Grapefruit, lemon, orange, and grassy notes.",india-pale-ale
126,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",india-pale-ale
127,Eureka!,17.0,19.0,Simcoe,"An offspring of Apollo and German Merkur, Eureka! has aromas and characteristics of strong herbal notes, pine, mint, grapefruit rind, tangerine, and other citrus. Great for brewers looking for varieties to use in late addition, whirlpool, or “hop stand” hop additions.",india-pale-ale
128,First Gold,6.5,8.5,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.,india-pale-ale
129,Fuggle,4.0,5.5,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust.",india-pale-ale
130,Fuggle,4.0,5.5,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity.",india-pale-ale
131,Galena,10.0,14.0,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy.",india-pale-ale
