,Name,Minimum Alpha Acid %,Maximum Alpha Acid %,Possible Substitution,Flavor Description,Beer Styles
707,Jarrylo™,15.0,17.0,,"A high-alpha hop, the flavor imparts a mild sweetness and a tea-like spice, with flavors and aromas of banana, pear, spice, and herbal notes.",american-pale-ale
708,Kohatu,3.0,3.0,,Aroma hop with high essential oils and intense floral characters of pine needles and tropical fruit.,american-pale-ale
709,Legacy,N/,N/,,"Clean grapefruit, floral, black currant notes and a spicy aroma.",american-pale-ale
710,Lemondrop,5.0,7.0,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes.",american-pale-ale
711,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,american-pale-ale
712,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,american-pale-ale
713,Mandarina Bavaria,7.0,10.0,Cascade,Mandarin orangey flavor and aroma.,american-pale-ale
714,Nelson Sauvin,12.0,14.0,,"Distinctive white wine “fruitiness,” gooseberry. Considered by some as “extreme,” this hop is often used in specialty craft and seasonal beers.",american-pale-ale
715,Newport,13.0,17.0,"Galena, Nugget",Fairly pungent.,american-pale-ale
716,Northern Brewer,7.0,10.0,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,american-pale-ale
717,Northern Brewer,6.0,10.0,"Chinook, Nugget",Medium-strong with some wild tones.,american-pale-ale
718,Northwest Golding,4.0,5.0,,Known for aromatic properties.,american-pale-ale
719,Nugget,11.0,14.5,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.,american-pale-ale
720,Olympic,11.0,13.0,Chinook,"Mild to medium, citrusy aroma, spicy.",american-pale-ale
721,Opal,5.0,8.0,Styrian Golding,German dual-purpose hop,american-pale-ale
722,Orbit,N/,N/,,Orbit is different each year as it uses a proprietary blend of hops specially selected out of the New Zealand “Hops with a Difference” breeding program.,american-pale-ale
723,Pacific Gem,13.0,15.0,Galena,Bittering hop with delicate blackberry and floral oak. Pleasant aroma and high bitterness level.,american-pale-ale
724,Pacific Jade,12.0,14.0,,A “soft” bittering hop with spicy and citrus aroma qualities.,american-pale-ale
725,Palisade®,5.5,9.5,Perhaps Cascade,Some “American” characteristics.,american-pale-ale
726,Pekko™,13.0,16.0,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”",american-pale-ale
727,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",american-pale-ale
728,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",american-pale-ale
729,Pilgrim,9.0,13.0,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas.",american-pale-ale
730,Pride of Ringwood,7.0,10.0,"Cluster, Galena","Quite pronounced, woody, earthy, herbal.",american-pale-ale
731,Rakau,9.0,11.0,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers.",american-pale-ale
732,Riwaka,4.5,6.5,"Czech Saaz, possible American ""C"" hops","Citrusy, grapefruit aroma hop",american-pale-ale
733,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,american-pale-ale
734,Satus,12.5,14.0,Galena,Known for its bittering and aromatic properties.,american-pale-ale
735,Simcoe®,12.0,14.0,,A bittering and aromatic hop.,american-pale-ale
736,Sorachi Ace,13.0,16.0,,Bittering hop with lemony aroma,american-pale-ale
737,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,american-pale-ale
738,Styrian Aurora,7.0,9.5,"Northern Brewer, Styrian Golding, U.S. Styrian Bobek","Intense, pleasant and hoppy. Very suitable for extraction and for combination with other varieties in the brewing process.",american-pale-ale
739,Summer,5.6,6.4,,"A hop variety formerly known as Summer Saaz that has a gentle floral aroma, slightly earthy. Expect apricot and stone fruit notes when used in dry hopping.",american-pale-ale
740,Summit™,16.0,18.0,Simcoe,Ultra high-alpha bittering hop,american-pale-ale
741,Sun,12.0,16.0,Magnum,High-alpha hop with intense character,american-pale-ale
742,Super Alpha,10.0,12.0,,"Earthy, piney bittering hop.",american-pale-ale
743,Super Pride,14.0,14.0,Pride of Ringwood,A high alpha variety bred from Pride of Ringwood.,american-pale-ale
744,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",american-pale-ale
745,Tomahawk®,15.0,17.0,Columbus,Primarily a bittering hop.,american-pale-ale
746,Topaz,13.7,17.7,,"A dual purpose hop, Topaz adds a resinous, grassy flavors; however, with later additions and in higher gravity brews, light tropical fruit flavors (some say lychee) become more pronounced.",american-pale-ale
747,Vic Secret,14.0,17.0,,"An aroma hop with resinous, grassy and mild fruit flavors. Late and dry hop additions introduce appealing clean and distinct pineapple and pine characters. Lighter and less dominant than Galaxy.",american-pale-ale
748,Wai-iti,3.4,3.4,Saaz,"Aroma hop with a startlingly citrus aroma made up of mandarin, lemon and lime zest",american-pale-ale
749,Waimea,16.0,19.0,,High alpha but also lots of oils giving fresh tangelo and citrus fruit aroma with pine needles,american-pale-ale
750,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",american-pale-ale
751,Warrior®,15.0,17.0,Nugget,A bittering and aromatic hop.,american-pale-ale
752,Willamette,3.5,6.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy.",american-pale-ale
753,Yakima Cluster,6.0,8.5,,Used as a kettle hop for bittering.,american-pale-ale
754,Zeus,13.0,17.0,Columbus,Aromatic and pleasant.,american-pale-ale
755,Azacca®,14.0,16.0,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple.",specialty-and-experimental-beer
756,Boadicea,8.0,9.0,,spicy,specialty-and-experimental-beer
757,Bobeck,3.5,7.0,,U.K. Fuggle,specialty-and-experimental-beer
758,Cascade,4.5,7.0,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor.",specialty-and-experimental-beer
759,Cascade,6.0,8.0,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character.",specialty-and-experimental-beer
760,Cashmere,7.7,9.1,,"This dual purpose variety is an offspring of Cascade and Northern Brewer. Cashmere has aroma and flavor characteristics of melon, lemon, lime, herbs, and citrus fruits.",specialty-and-experimental-beer
761,Centennial,8.0,11.5,"Cascade, possibly Columbus",Medium with floral and citrus tones.,specialty-and-experimental-beer
762,Chinook,10.0,14.0,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity.",specialty-and-experimental-beer
763,Citra®,11.0,13.0,,Intense citrusy flavor.,specialty-and-experimental-beer
764,Cluster,5.5,8.5,Galena,Medium and quite spicy.,specialty-and-experimental-beer
765,Columbus,11.0,16.0,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma.",specialty-and-experimental-beer
766,Comet,9.0,11.0,,"Grapefruit, lemon, orange, and grassy notes.",specialty-and-experimental-beer
767,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",specialty-and-experimental-beer
768,Eureka!,17.0,19.0,Simcoe,"An offspring of Apollo and German Merkur, Eureka! has aromas and characteristics of strong herbal notes, pine, mint, grapefruit rind, tangerine, and other citrus. Great for brewers looking for varieties to use in late addition, whirlpool, or “hop stand” hop additions.",specialty-and-experimental-beer
769,Galena,10.0,14.0,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy.",specialty-and-experimental-beer
770,Golding,4.0,6.0,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy.",specialty-and-experimental-beer
771,Herkules,12.0,17.0,,bittering hop,specialty-and-experimental-beer
772,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",specialty-and-experimental-beer
773,Idaho,12.0,15.0,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs.",specialty-and-experimental-beer
774,Jarrylo™,15.0,17.0,,"A high-alpha hop, the flavor imparts a mild sweetness and a tea-like spice, with flavors and aromas of banana, pear, spice, and herbal notes.",specialty-and-experimental-beer
775,Lemondrop,5.0,7.0,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes.",specialty-and-experimental-beer
776,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,specialty-and-experimental-beer
777,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,specialty-and-experimental-beer
778,Merkur,12.0,15.0,Magnum,"high-alpha, bittering hop",specialty-and-experimental-beer
779,Mt. Rainier,5.0,8.1,Hallertauer,only available in 2012,specialty-and-experimental-beer
780,Newport,13.0,17.0,"Galena, Nugget",Fairly pungent.,specialty-and-experimental-beer
781,Nugget,11.0,14.5,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.,specialty-and-experimental-beer
782,Olympic,11.0,13.0,Chinook,"Mild to medium, citrusy aroma, spicy.",specialty-and-experimental-beer
783,Opal,5.0,8.0,Styrian Golding,German dual-purpose hop,specialty-and-experimental-beer
784,Palisade®,5.5,9.5,Perhaps Cascade,Some “American” characteristics.,specialty-and-experimental-beer
785,Pekko™,13.0,16.0,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”",specialty-and-experimental-beer
786,Pilgrim,9.0,13.0,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas.",specialty-and-experimental-beer
787,Rakau,9.0,11.0,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers.",specialty-and-experimental-beer
788,Satus,12.5,14.0,Galena,Known for its bittering and aromatic properties.,specialty-and-experimental-beer
789,Simcoe®,12.0,14.0,,A bittering and aromatic hop.,specialty-and-experimental-beer
790,Sorachi Ace,13.0,16.0,,Bittering hop with lemony aroma,specialty-and-experimental-beer
791,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,specialty-and-experimental-beer
792,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",specialty-and-experimental-beer
793,Taurus,12.0,17.0,Magnum,high-alpha hop,specialty-and-experimental-beer
794,Tomahawk®,15.0,17.0,Columbus,Primarily a bittering hop.,specialty-and-experimental-beer
795,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",specialty-and-experimental-beer
796,Warrior®,15.0,17.0,Nugget,A bittering and aromatic hop.,specialty-and-experimental-beer
797,Willamette,3.5,6.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy.",specialty-and-experimental-beer
798,Yakima Cluster,6.0,8.5,,Used as a kettle hop for bittering.,specialty-and-experimental-beer
799,Zeus,13.0,17.0,Columbus,Aromatic and pleasant.,specialty-and-experimental-beer
800,Admiral,13.5,16.0,"U.K. Challenger, U.K. Northdown, U.K. Target",Known for its bittering potential.,porter
801,Ahtanum™,4.0,6.3,"Amarillo, Cascade","Floral, citrus, sharp, and piney.",porter
802,Amarillo®,8.0,9.0,"Cascade, Centennial","Citrusy, flowery.",porter
803,Boadicea,8.0,9.0,,spicy,porter
804,Bobeck,3.5,7.0,,U.K. Fuggle,porter
805,Bramling Cross,5.0,7.0,"U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety","Quite mild, fruity currant aroma.",porter
806,Brewer’s Gold,7.0,10.0,Bullion,Bittering hop with neutral aroma character.,porter
807,Brewer’s Gold,6.0,7.0,"Bullion, Galena, Northdown, Northern Brewer","Black currant, fruity, spicy.",porter
808,Bullion,6.5,9.0,"Columbus, Northern Brewer",A rich hop primarily used for bittering. Intense blackcurrant aroma.,porter
809,Cascade,4.5,7.0,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor.",porter
810,Centennial,8.0,11.5,"Cascade, possibly Columbus",Medium with floral and citrus tones.,porter
811,Challenger,6.5,8.5,"Northern Brewer, U.S. or German Perle","Mild to moderate, quite spicy.",porter
812,Chinook,10.0,14.0,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity.",porter
813,Citra®,11.0,13.0,,Intense citrusy flavor.,porter
814,Cluster,5.5,8.5,Galena,Medium and quite spicy.,porter
815,Columbus,11.0,16.0,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma.",porter
816,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",porter
817,First Gold,6.5,8.5,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.,porter
818,Fuggle,4.0,5.5,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust.",porter
819,Fuggle,4.0,5.5,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity.",porter
820,Galena,10.0,14.0,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy.",porter
821,Glacier,5.0,9.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger, Willamette",Dual purpose hop with a citrus earthy aroma.,porter
822,Golding,4.0,6.0,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy.",porter
823,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",porter
824,Kent Golding,4.0,5.5,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant.",porter
825,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,porter
826,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,porter
827,Nelson Sauvin,12.0,14.0,,"Distinctive white wine “fruitiness,” gooseberry. Considered by some as “extreme,” this hop is often used in specialty craft and seasonal beers.",porter
828,Newport,13.0,17.0,"Galena, Nugget",Fairly pungent.,porter
829,Northdown,7.5,9.5,,Fruity with some spiciness.,porter
830,Northern Brewer,7.0,10.0,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,porter
831,Northern Brewer,6.0,10.0,"Chinook, Nugget",Medium-strong with some wild tones.,porter
832,Northwest Golding,4.0,5.0,,Known for aromatic properties.,porter
833,Nugget,11.0,14.5,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.,porter
834,Olympic,11.0,13.0,Chinook,"Mild to medium, citrusy aroma, spicy.",porter
835,Pacific Gem,13.0,15.0,Galena,Bittering hop with delicate blackberry and floral oak. Pleasant aroma and high bitterness level.,porter
836,Pacific Jade,12.0,14.0,,A “soft” bittering hop with spicy and citrus aroma qualities.,porter
837,Palisade®,5.5,9.5,Perhaps Cascade,Some “American” characteristics.,porter
838,Pekko™,13.0,16.0,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”",porter
839,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",porter
840,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",porter
841,Phoenix,9.0,13.0,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral.",porter
842,Pilgrim,9.0,13.0,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas.",porter
843,Pioneer,8.0,10.0,U.K. Kent Golding,"A mild, typical English aroma.",porter
844,Pride of Ringwood,7.0,10.0,"Cluster, Galena","Quite pronounced, woody, earthy, herbal.",porter
845,Progress,5.0,7.5,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma.",porter
846,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,porter
847,Satus,12.5,14.0,Galena,Known for its bittering and aromatic properties.,porter
848,Simcoe®,12.0,14.0,,A bittering and aromatic hop.,porter
849,Southern Cross,11.0,14.0,,"Piney, resinous bittering hop",porter
850,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,porter
851,Styrian Golding,4.5,6.0,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy.",porter
852,Summit™,16.0,18.0,Simcoe,Ultra high-alpha bittering hop,porter
853,Sun,12.0,16.0,Magnum,High-alpha hop with intense character,porter
854,Super Alpha,10.0,12.0,,"Earthy, piney bittering hop.",porter
855,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",porter
856,Tomahawk®,15.0,17.0,Columbus,Primarily a bittering hop.,porter
857,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",porter
858,Warrior®,15.0,17.0,Nugget,A bittering and aromatic hop.,porter
859,WGV (Whitbread Golding Variety),5.0,7.0,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy.",porter
860,Willamette,3.5,6.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy.",porter
861,Yakima Cluster,6.0,8.5,,Used as a kettle hop for bittering.,porter
862,Zeus,13.0,17.0,Columbus,Aromatic and pleasant.,porter
863,Boadicea,8.0,9.0,,spicy,spice-herb-and-vegetable-beer
864,Cascade,4.5,7.0,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor.",spice-herb-and-vegetable-beer
865,Centennial,8.0,11.5,"Cascade, possibly Columbus",Medium with floral and citrus tones.,spice-herb-and-vegetable-beer
866,Chinook,10.0,14.0,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity.",spice-herb-and-vegetable-beer
867,Cluster,5.5,8.5,Galena,Medium and quite spicy.,spice-herb-and-vegetable-beer
868,Columbus,11.0,16.0,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma.",spice-herb-and-vegetable-beer
869,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",spice-herb-and-vegetable-beer
870,Galena,10.0,14.0,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy.",spice-herb-and-vegetable-beer
871,Golding,4.0,6.0,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy.",spice-herb-and-vegetable-beer
872,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",spice-herb-and-vegetable-beer
873,Lemondrop,5.0,7.0,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes.",spice-herb-and-vegetable-beer
874,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,spice-herb-and-vegetable-beer
875,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,spice-herb-and-vegetable-beer
876,Newport,13.0,17.0,"Galena, Nugget",Fairly pungent.,spice-herb-and-vegetable-beer
877,Nugget,11.0,14.5,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.,spice-herb-and-vegetable-beer
878,Olympic,11.0,13.0,Chinook,"Mild to medium, citrusy aroma, spicy.",spice-herb-and-vegetable-beer
879,Palisade®,5.5,9.5,Perhaps Cascade,Some “American” characteristics.,spice-herb-and-vegetable-beer
880,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",spice-herb-and-vegetable-beer
881,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",spice-herb-and-vegetable-beer
882,Satus,12.5,14.0,Galena,Known for its bittering and aromatic properties.,spice-herb-and-vegetable-beer
883,Simcoe®,12.0,14.0,,A bittering and aromatic hop.,spice-herb-and-vegetable-beer
884,Sorachi Ace,13.0,16.0,,Bittering hop with lemony aroma,spice-herb-and-vegetable-beer
885,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,spice-herb-and-vegetable-beer
886,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",spice-herb-and-vegetable-beer
887,Tomahawk®,15.0,17.0,Columbus,Primarily a bittering hop.,spice-herb-and-vegetable-beer
888,Wakatu,N/,N/,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness.",spice-herb-and-vegetable-beer
889,Warrior®,15.0,17.0,Nugget,A bittering and aromatic hop.,spice-herb-and-vegetable-beer
890,Willamette,3.5,6.0,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy.",spice-herb-and-vegetable-beer
891,Yakima Cluster,6.0,8.5,,Used as a kettle hop for bittering.,spice-herb-and-vegetable-beer
892,Zeus,13.0,17.0,Columbus,Aromatic and pleasant.,spice-herb-and-vegetable-beer
893,Boadicea,8.0,9.0,,spicy,american-light-ale
894,Bobeck,3.5,7.0,,U.K. Fuggle,american-light-ale
895,Cascade,4.5,7.0,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor.",american-light-ale
896,Centennial,8.0,11.5,"Cascade, possibly Columbus",Medium with floral and citrus tones.,american-light-ale
897,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",american-light-ale
898,Hallertauer Mittelfrüh,3.0,5.5,"German Tradition, Liberty, Ultra",Mild and pleasant.,american-light-ale
899,Hallertauer Tradition,3.5,5.5,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.,american-light-ale
900,Hersbrucker,3.0,5.5,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy.",american-light-ale
901,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",american-light-ale
902,Liberty,3.0,6.0,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character.",american-light-ale
903,Magnum,12.0,16.0,"Northdown, Northern Brewer",Known for bittering value and quality.,american-light-ale
904,Magnum,10.0,14.0,"Northdown, Northern Brewer",High alpha variety,american-light-ale
905,Mt. Hood,3.0,8.0,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny.",american-light-ale
906,Mt. Rainier,5.0,8.1,Hallertauer,only available in 2012,american-light-ale
907,Northern Brewer,7.0,10.0,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.,american-light-ale
908,Northern Brewer,6.0,10.0,"Chinook, Nugget",Medium-strong with some wild tones.,american-light-ale
909,Northwest Golding,4.0,5.0,,Known for aromatic properties.,american-light-ale
910,Opal,5.0,8.0,Styrian Golding,German dual-purpose hop,american-light-ale
911,Palisade®,5.5,9.5,Perhaps Cascade,Some “American” characteristics.,american-light-ale
912,Perle,6.0,8.5,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy.",american-light-ale
913,Perle,6.0,9.5,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy.",american-light-ale
914,Pilgrim,9.0,13.0,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas.",american-light-ale
915,Saaz,3.0,4.5,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal.",american-light-ale
916,Saaz,3.0,5.0,Czech Saaz,"Mild and pleasant, earthy and spicy.",american-light-ale
917,Santiam,5.0,7.9,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.,american-light-ale
918,Saphir,2.5,4.5,Any noble hops,Mild aroma hop.,american-light-ale
919,Simcoe®,12.0,14.0,,A bittering and aromatic hop.,american-light-ale
920,Smaragd,4.0,6.0,,Fruity and floral aromas.,american-light-ale
921,Sorachi Ace,13.0,16.0,,Bittering hop with lemony aroma,american-light-ale
922,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,american-light-ale
923,Spalt,4.0,5.5,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy.",american-light-ale
924,Spalt Select,4.0,6.0,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.,american-light-ale
925,Spalt Select,3.0,5.0,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.,american-light-ale
926,Sterling,6.0,9.0,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus.",american-light-ale
927,Strisslespalt,3.0,5.0,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy.",american-light-ale
928,Target,9.5,12.5,"Fuggle, Willamette","Pleasant English hop aroma, quite intense.",american-light-ale
929,Taurus,12.0,17.0,Magnum,high-alpha hop,american-light-ale
930,Tettnanger,3.5,5.5,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal.",american-light-ale
931,Tettnanger,3.4,5.2,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy.",american-light-ale
932,Tradition,5.0,7.0,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.,american-light-ale
933,Ultra,2.0,4.1,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer.",american-light-ale
934,Vanguard,4.0,5.7,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.,american-light-ale
935,Boadicea,8.0,9.0,,spicy,soda-pop
936,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",soda-pop
937,Sovereign,5.0,6.0,U.K. Fuggle,mild flavor,soda-pop
938,Aurora,6.0,8.0,,Northern Brewer,european-dark-lager
939,Boadicea,8.0,9.0,,spicy,european-dark-lager
940,Brewer’s Gold,6.0,7.0,"Bullion, Galena, Northdown, Northern Brewer","Black currant, fruity, spicy.",european-dark-lager
941,Cascade,3.0,5.0,Any noble hops,Different than US grown Cascades with more of a spicy flavor and lemony aroma.,european-dark-lager
942,Crystal,2.0,4.5,"French Strisslespalt, Hallertauer, Hersbrucker, Liberty, Mt. Hood","Mild and pleasant, spicy and flowery.",european-dark-lager
943,El Dorado,14.0,16.0,,"Dual purpose hop with fruity, tropical flavors.",european-dark-lager
944,Hallertau Aroma,6.5,8.5,Perle,A dual purpose hop which has been used to replace Perle,european-dark-lager
945,Herkules,12.0,17.0,,bittering hop,european-dark-lager
946,Horizon,11.0,14.0,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer.",european-dark-lager
947,Jarrylo™,15.0,17.0,,"A high-alpha hop, the flavor imparts a mild sweetness and a tea-like spice, with flavors and aromas of banana, pear, spice, and herbal notes.",european-dark-lager
