,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
834,Martin Rucinsky,31,LW,STL,61,16,14,30,-1,38,8,4,4,3,13,0,1,135,11.9,1032,16:55,3.0
835,Darren Rumble,34,D,TBL,19,0,0,0,-2,6,0,0,0,0,0,0,0,10,0.0,211,11:07,0.1
836,Mike Rupp,23,C,NJD,26,5,3,8,0,21,3,2,0,3,2,1,0,34,14.7,303,11:39,0.9
837,Jarkko Ruutu,27,RW,VAN,36,2,2,4,-7,66,2,0,0,1,2,0,0,36,5.6,323,8:58,-0.2
838,Joe Sacco,33,RW,PHI,34,1,5,6,0,20,1,0,0,1,5,0,0,48,2.1,424,12:27,0.1
839,Kirill Safronov,21,D,ATL,32,2,2,4,-10,14,2,0,0,0,1,1,0,21,9.5,481,15:02,0.2
840,Joe Sakic,33,C,COL,58,26,32,58,4,24,18,8,0,1,21,10,1,190,13.7,1230,21:12,6.7
841,Ruslan Salei,28,D,MDA,61,4,8,12,2,78,4,0,0,0,8,0,0,93,4.3,1335,21:53,4.0
842,Sami Salo,28,D,VAN,79,9,21,30,9,10,5,4,0,1,12,5,4,126,7.1,1591,20:08,6.2
843,Andreas Salomonsson,29,LW,WSH,32,1,4,5,-1,14,1,0,0,0,4,0,0,20,5.0,282,8:50,0.1
844,Bryce Salvador,26,D,STL,71,2,8,10,7,95,1,1,0,0,8,0,0,73,2.7,1346,18:57,2.8
845,Sergei Samsonov,24,LW,BOS,8,5,6,11,8,2,4,1,0,3,5,1,0,23,21.7,163,20:20,1.8
846,Martin Samuelsson,21,RW,BOS,8,0,1,1,-1,2,0,0,0,0,1,0,0,3,0.0,94,11:42,-0.1
847,Mikael Samuelsson,26,RW,TOT,80,10,14,24,-21,40,7,2,1,2,10,3,1,154,6.5,1211,15:08,0.8
848,Mikael Samuelsson,26,RW,NYR,58,8,14,22,0,32,6,1,1,2,10,3,1,118,6.8,901,15:32,1.7
849,Mikael Samuelsson,26,RW,PIT,22,2,0,2,-21,8,1,1,0,0,0,0,0,36,5.6,309,14:04,-0.9
850,Geoff Sanderson,30,LW,CBJ,82,34,33,67,-4,34,17,15,2,2,21,11,1,286,11.9,1536,18:44,8.3
851,Oleg Saprykin,21,LW,CGY,52,8,15,23,5,46,7,1,0,1,11,4,0,116,6.9,618,11:53,2.6
852,Cory Sarich,24,D,TBL,82,5,9,14,-3,63,5,0,0,2,7,0,2,79,6.3,1607,19:36,3.8
853,Miroslav Satan,28,RW,BUF,79,26,49,75,-3,20,14,11,1,3,26,20,3,240,10.8,1690,21:23,8.3
854,Kurt Sauer,22,D,MDA,80,1,2,3,-23,74,1,0,0,0,2,0,0,50,2.0,1484,18:33,0.9
855,Andre Savage,27,C,PHI,16,2,1,3,2,4,2,0,0,1,1,0,0,13,15.4,125,7:49,0.4
856,Brian Savage,31,LW,PHX,43,6,10,16,-4,22,5,1,0,1,8,2,0,68,8.8,575,13:22,1.1
857,Marc Savard,25,C,TOT,67,17,33,50,-14,85,11,6,0,4,18,14,1,148,11.5,1277,19:04,4.6
858,Marc Savard,25,C,ATL,57,16,31,47,-11,77,10,6,0,4,17,13,1,127,12.6,1130,19:50,4.5
859,Marc Savard,25,C,CGY,10,1,2,3,-3,8,1,0,0,0,1,1,0,21,4.8,147,14:41,0.1
860,Kevin Sawyer,28,LW,MDA,31,2,1,3,-2,115,2,0,0,0,1,0,0,11,18.2,189,6:06,0.2
861,Dave Scatchard,26,RW,NYI,81,27,18,45,9,108,22,5,0,2,17,1,0,165,16.4,1174,14:30,6.0
862,Peter Schaefer,25,LW,OTT,75,6,17,23,11,32,6,0,0,1,16,0,1,93,6.5,1124,14:59,1.6
863,Petr Schastlivy,23,LW,OTT,33,9,10,19,3,4,4,5,0,2,7,3,0,68,13.2,440,13:21,2.4
864,Chris Schmidt,26,C,LAK,10,0,2,2,-1,5,0,0,0,0,2,0,0,10,0.0,100,10:01,0.0
865,Robert Schnabel,24,D,NSH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4:28,0.0
866,Mathieu Schneider,33,D,TOT,78,16,34,50,2,73,5,11,0,1,13,20,1,199,8.0,1747,22:24,9.3
867,Mathieu Schneider,33,D,LAK,65,14,29,43,0,57,4,10,0,1,10,19,0,162,8.6,1452,22:20,8.0
868,Mathieu Schneider,33,D,DET,13,2,5,7,2,16,1,1,0,0,3,1,1,37,5.4,295,22:42,1.3
869,Nick Schultz,20,D,MIN,75,3,7,10,11,23,3,0,0,1,7,0,0,70,4.3,1385,18:28,4.6
870,Ray Schultz,26,D,NYI,4,0,0,0,-1,28,0,0,0,0,0,0,0,1,0.0,22,5:23,-0.1
871,Darrel Scoville,27,D,CBJ,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0.0,29,14:31,0.0
872,Daniel Sedin,22,LW,VAN,79,14,17,31,8,34,10,4,0,2,13,3,1,134,10.4,983,12:26,3.3
873,Henrik Sedin,22,C,VAN,78,8,31,39,9,38,3,4,1,1,16,15,0,81,9.9,1089,13:58,3.4
874,Dennis Seidenberg,21,D,PHI,58,4,9,13,8,20,3,1,0,0,7,2,0,123,3.3,976,16:50,3.8
875,Peter Sejna,23,LW,STL,1,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,15,15:22,0.2
876,Lubomir Sekeras,34,D,MIN,60,2,9,11,-12,30,1,1,0,1,5,4,0,50,4.0,1132,18:52,2.3
877,Teemu Selanne,32,RW,SJS,82,28,36,64,-6,30,21,7,0,5,19,16,1,253,11.1,1577,19:14,7.0
878,Alexei Semenov,21,D,EDM,46,1,6,7,-7,58,1,0,0,0,6,0,0,33,3.0,906,19:41,1.0
879,Cam Severson,25,LW,MDA,2,0,0,0,0,8,0,0,0,0,0,0,0,1,0.0,13,6:44,0.0
880,Brendan Shanahan,34,LW,DET,78,30,38,68,5,103,17,13,0,6,23,14,1,260,11.5,1454,18:38,7.9
881,Jeff Shantz,29,C,COL,74,3,6,9,-12,35,3,0,0,2,5,0,1,68,4.4,848,11:28,-0.9
882,Patrick Sharp,21,C,PHI,3,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,18,5:59,0.0
883,Jody Shelley,26,LW,CBJ,68,1,4,5,-5,249,1,0,0,0,4,0,0,39,2.6,417,6:08,-0.2
884,Denis Shvidki,22,LW,FLA,23,4,2,6,-7,12,2,2,0,1,1,1,0,29,13.8,327,14:14,0.3
885,Mike Siklenka,23,RW,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4,4:26,0.0
886,Mike Sillinger,31,C,CBJ,75,18,25,43,-21,52,6,9,3,3,15,7,3,128,14.1,1435,19:08,3.5
887,Jon Sim,25,RW,TOT,22,1,2,3,-4,19,1,0,0,0,2,0,0,39,2.6,243,11:03,-0.1
888,Jon Sim,25,RW,LAK,14,0,2,2,-3,19,0,0,0,0,2,0,0,29,0.0,169,12:05,-0.2
889,Jon Sim,25,RW,DAL,4,0,0,0,-1,0,0,0,0,0,0,0,0,7,0.0,37,9:10,-0.1
890,Jon Sim,25,RW,NSH,4,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,37,9:18,0.2
891,Ben Simon,24,LW,ATL,10,0,1,1,0,9,0,0,0,0,1,0,0,7,0.0,94,9:25,-0.1
892,Chris Simon,31,LW,TOT,71,12,8,20,-7,148,10,2,0,2,6,2,0,88,13.6,765,10:47,1.8
893,Chris Simon,31,LW,CHI,61,12,6,18,-4,125,10,2,0,2,5,1,0,72,16.7,677,11:06,1.9
894,Chris Simon,31,LW,WSH,10,0,2,2,-3,23,0,0,0,0,1,1,0,16,0.0,89,8:53,-0.1
895,Reid Simpson,33,LW,NSH,26,0,1,1,-4,56,0,0,0,0,1,0,0,11,0.0,132,5:04,-0.2
896,Todd Simpson,29,D,PHX,66,2,7,9,7,135,2,0,0,0,7,0,0,67,3.0,1121,16:59,2.8
897,Michal Sivek,22,C,PIT,38,3,3,6,-5,14,2,1,0,0,2,1,0,45,6.7,497,13:05,0.0
