,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,PS
702,Vladimir Orszagh,22,RW,NYI,11,2,1,3,1,4,2,0,0,0,1,0,0,16,12.5,131,11:55,0.3
703,Sandis Ozolinsh,27,D,COL,82,16,36,52,17,46,10,6,0,1,19,17,0,210,7.6,1861,22:41,10.4
704,Ziggy Palffy,27,RW,LAK,64,27,39,66,18,32,23,4,0,3,22,17,0,186,14.5,1258,19:39,7.9
705,Jay Pandolfo,25,LW,NJD,71,7,8,15,0,4,7,0,0,0,8,0,0,86,8.1,953,13:25,0.6
706,Mark Parrish,22,RW,FLA,81,26,18,44,1,39,20,6,0,3,15,3,0,152,17.1,1139,14:04,5.3
707,Pavel Patera,28,C,DAL,12,1,4,5,-1,4,1,0,0,0,4,0,0,18,5.6,169,14:04,0.3
708,James Patrick,36,D,BUF,66,5,8,13,8,22,5,0,0,3,8,0,0,40,12.5,1055,15:59,3.6
709,Scott Pearson,30,LW,NYI,2,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,26,13:15,0.1
710,Michael Peca,25,C,BUF,73,20,21,41,6,67,18,2,0,3,13,5,3,144,13.9,1456,19:57,4.2
711,Denis Pederson,24,C,TOT,47,6,5,11,-6,18,6,0,0,1,4,0,1,56,10.7,527,11:13,0.6
712,Denis Pederson,24,C,NJD,35,3,3,6,-7,16,3,0,0,0,2,0,1,41,7.3,375,10:42,0.0
713,Denis Pederson,24,C,VAN,12,3,2,5,1,2,3,0,0,1,2,0,0,15,20.0,152,12:41,0.6
714,Scott Pellerin,30,LW,STL,80,8,15,23,9,48,6,0,2,2,14,0,1,120,6.7,1183,14:47,1.7
715,Ville Peltonen,26,LW,NSH,79,6,22,28,-1,22,4,2,0,2,19,3,0,125,4.8,1159,14:41,1.7
716,Yanic Perreault,28,C,TOR,58,18,27,45,3,22,13,5,0,4,17,10,0,114,15.8,887,15:18,5.1
717,Ricard Persson,30,D,STL,41,0,8,8,-2,38,0,0,0,0,7,1,0,30,0.0,508,12:24,1.3
718,Oleg Petrov,28,RW,MTL,44,2,24,26,10,8,1,1,0,0,18,6,0,96,2.1,697,15:51,2.4
719,Robert Petrovicky,26,LW,TBL,43,7,10,17,2,14,6,1,0,0,8,2,0,50,14.0,434,10:05,1.8
720,Chris Phillips,21,D,OTT,65,5,14,19,12,39,5,0,0,1,11,2,1,96,5.2,1094,16:50,4.6
721,Michel Picard,30,LW,EDM,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,20,9:56,0.0
722,Rich Pilon,31,D,TOT,54,0,6,6,-2,70,0,0,0,0,6,0,0,16,0.0,889,16:28,1.5
723,Rich Pilon,31,D,NYR,45,0,4,4,0,36,0,0,0,0,4,0,0,16,0.0,742,16:29,1.3
724,Rich Pilon,31,D,NYI,9,0,2,2,-2,34,0,0,0,0,2,0,0,0,,147,16:21,0.2
725,Lance Pitlick,32,D,FLA,62,3,5,8,7,44,3,0,0,1,5,0,0,26,11.5,1027,16:33,2.6
726,Domenic Pittis,25,C,BUF,7,1,0,1,1,6,1,0,0,0,0,0,0,6,16.7,80,11:27,0.1
727,Derek Plante,29,C,TOT,33,2,2,4,-5,4,1,1,0,0,2,0,0,31,6.5,294,8:55,0.0
728,Derek Plante,29,C,CHI,17,1,1,2,-1,2,1,0,0,0,1,0,0,14,7.1,133,7:48,0.0
729,Derek Plante,29,C,DAL,16,1,1,2,-4,2,0,1,0,0,1,0,0,17,5.9,161,10:05,-0.1
