,Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
161,Brett Clark,25,D,ATL,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,0,,31,15:32,,,,,
162,Chris Clark,25,RW,CGY,64,10,7,17,-12,79,1.0,7,2,1,4,7,0,0,109,9.2,893,13:57,,,,,
163,Greg Classen,24,C,NSH,55,5,6,11,1,30,0.9,4,0,1,0,6,0,0,32,15.6,558,10:09,,,,,
164,Dan Cleary,23,RW,EDM,65,10,19,29,-1,51,2.9,7,2,1,1,14,5,0,75,13.3,826,12:43,,,,,
165,Ben Clymer,23,RW,TBL,81,14,20,34,-10,36,2.8,10,4,0,2,14,6,0,151,9.3,1412,17:26,,,,,
166,Erik Cole,23,RW,CAR,81,16,24,40,-10,35,3.5,13,3,0,2,21,3,0,159,10.1,1301,16:04,,,,,
167,Mike Commodore,22,D,NJD,37,0,1,1,-12,30,-0.2,0,0,0,0,1,0,0,22,0.0,467,12:37,,,,,
168,Mike Comrie,21,C,EDM,82,33,27,60,16,45,8.5,25,8,0,5,13,14,0,170,19.4,1437,17:32,,,,,
169,Tim Connolly,20,C,BUF,82,10,35,45,4,34,4.1,7,3,0,3,21,14,0,126,7.9,1391,16:58,,,,,
170,Craig Conroy,30,C,CGY,81,27,48,75,24,32,9.4,18,7,2,4,30,17,1,146,18.5,1696,20:56,,,,,
171,Matt Cooke,23,LW,VAN,82,13,20,33,4,111,2.9,12,1,0,2,19,0,1,103,12.6,1153,14:03,,,,,
172,Bob Corkum,34,C,TOT,75,3,5,8,-32,20,-2.0,3,0,0,0,4,1,0,80,3.8,1133,15:06,,,,,
173,Bob Corkum,34,C,ATL,65,3,4,7,-30,16,-1.9,3,0,0,0,4,0,0,70,4.3,1026,15:47,,,,,
174,Bob Corkum,34,C,BUF,10,0,1,1,-2,4,-0.1,0,0,0,0,0,1,0,10,0.0,107,10:44,,,,,
175,Chris Corrinet,23,RW,WSH,8,0,1,1,-4,6,-0.2,0,0,0,0,1,0,0,8,0.0,81,10:04,,,,,
176,Daniel Corso,23,C,STL,41,4,7,11,3,6,1.0,3,1,0,2,5,2,0,25,16.0,460,11:13,,,,,
177,Shayne Corson,35,C,TOR,74,12,21,33,11,120,2.9,11,0,1,1,19,2,0,111,10.8,1263,17:04,,,,,
178,Sylvain Cote,36,D,WSH,70,3,11,14,-15,26,1.7,2,1,0,2,9,2,0,101,3.0,1381,19:44,,,,,
179,Jeff Cowan,25,RW,TOT,57,5,1,6,-14,90,-0.4,5,0,0,2,1,0,0,64,7.8,620,10:53,,,,,
180,Jeff Cowan,25,RW,ATL,38,4,1,5,-11,50,-0.3,4,0,0,1,1,0,0,51,7.8,473,12:27,,,,,
181,Jeff Cowan,25,RW,CGY,19,1,0,1,-3,40,-0.1,1,0,0,1,0,0,0,13,7.7,147,7:44,,,,,
182,Mike Craig,30,RW,SJS,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,16,7:57,,,,,
183,Cory Cross,31,D,TOR,50,3,9,12,11,54,3.0,3,0,0,1,9,0,0,39,7.7,765,15:18,,,,,
184,David Cullen,25,D,TOT,17,0,0,0,-8,6,-0.5,0,0,0,0,0,0,0,3,0.0,215,12:39,,,,,
185,David Cullen,25,D,PHX,14,0,0,0,-5,6,-0.3,0,0,0,0,0,0,0,3,0.0,173,12:21,,,,,
186,David Cullen,25,D,MIN,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,0,,42,14:02,,,,,
187,Matt Cullen,25,C,MDA,79,18,30,48,-1,24,5.3,14,3,1,4,21,8,1,164,11.0,1344,17:01,,,,,
188,Jassen Cullimore,29,D,TBL,78,4,9,13,-1,58,4.4,4,0,0,1,9,0,0,84,4.8,1568,20:07,,,,,
189,Jim Cummins,31,RW,TOT,12,0,0,0,-6,31,-0.3,0,0,0,0,0,0,0,3,0.0,59,4:56,,,,,
190,Jim Cummins,31,RW,NYI,10,0,0,0,-5,31,-0.3,0,0,0,0,0,0,0,3,0.0,44,4:26,,,,,
191,Jim Cummins,31,RW,MDA,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,15,7:27,,,,,
192,Jakub Cutta,20,D,WSH,2,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,2,0.0,32,16:02,,,,,
193,Mariusz Czerkawski,29,RW,NYI,82,22,29,51,-8,48,5.3,16,6,0,6,18,11,0,169,13.0,1309,15:58,,,,,
194,Andreas Dackell,29,RW,MTL,79,15,18,33,-3,24,2.8,10,2,3,2,14,2,2,83,18.1,1361,17:14,,,,,
195,Pierre Dagenais,23,RW,TOT,42,10,4,14,-10,8,1.5,7,3,0,1,2,2,0,77,13.0,462,11:00,,,,,
196,Pierre Dagenais,23,RW,FLA,26,7,1,8,-5,4,1.0,5,2,0,0,1,0,0,47,14.9,288,11:04,,,,,
197,Pierre Dagenais,23,RW,NJD,16,3,3,6,-5,4,0.5,2,1,0,1,1,2,0,30,10.0,175,10:54,,,,,
198,Ulf Dahlen,35,LW,WSH,69,23,29,52,-5,8,5.9,16,7,0,4,18,11,0,141,16.3,1114,16:09,,,,,
199,Toni Dahlman,22,RW,OTT,10,0,1,1,-1,0,-0.1,0,0,0,0,1,0,0,5,0.0,71,7:04,,,,,
200,Vincent Damphousse,34,C,SJS,82,20,38,58,8,60,5.8,11,7,2,4,26,12,0,172,11.6,1609,19:38,,,,,
201,Mathieu Dandenault,25,D,DET,81,8,12,20,-5,44,3.9,6,2,0,3,10,2,0,97,8.2,1354,16:43,,,,,
202,Ken Daneyko,37,D,NJD,67,0,6,6,2,60,2.2,0,0,0,0,6,0,0,44,0.0,1040,15:31,,,,,
