,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
800,Brandon Tanev,25,WPG,LW,51,309,411,42.9,-7.1,219,293,42.8,-7.1,5.0,93.0,98.0,42.9,57.1,10:41,8:55,19,9,-4.2,82,65.9
801,Chris Tanev,27,VAN,D,53,693,772,47.3,-0.7,492,583,45.8,-1.1,9.2,92.5,101.7,44.7,55.3,20:21,16:60,15,25,-5.8,92,42.4
802,Vladimir Tarasenko,25,STL,RW,82,1233,1137,52.0,3.2,915,823,52.6,3.6,9.5,90.0,99.5,66.9,33.1,18:28,15:18,29,31,4.1,525,54.5
803,Tomas Tatar,26,DET,LW,82,1079,998,51.9,4.7,811,778,51.0,3.4,9.9,88.8,98.7,54.0,46.0,17:17,14:53,34,38,3.1,321,51.7
804,John Tavares,26,NYI,C,77,1332,1187,52.9,7.7,965,877,52.4,6.6,10.0,90.1,100.1,63.3,36.7,20:24,16:19,63,81,9.9,470,55.1
805,Matt Tennyson,26,CAR,D,45,502,570,46.8,-6.1,363,432,45.7,-6.6,7.6,88.9,96.5,64.3,35.7,13:17,12:51,11,11,-5.6,82,43.9
806,Teuvo Teravainen,22,CAR,LW,81,1095,899,54.9,5.0,822,700,54.0,5.0,7.5,90.7,98.1,58.4,41.6,16:14,13:53,51,67,5.8,298,56.7
807,Chris Terry,27,MTL,LW,14,114,96,54.3,-0.8,95,72,56.9,1.1,6.9,88.5,95.4,49.1,50.9,9:53,9:26,5,8,-0.2,24,62.5
808,Shea Theodore,21,ANA,D,34,463,459,50.2,0.1,360,358,50.1,-0.2,7.3,89.5,96.8,52.4,47.6,17:19,14:13,4,30,-2.4,126,47.6
809,Nate Thompson,32,ANA,C,30,175,261,40.1,-11.7,130,204,38.9,-13.6,6.5,97.7,104.2,46.1,53.9,10:23,8:41,6,5,-0.1,34,55.9
