,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
155,Zac Dalpe,27,MIN,C,9,61,72,45.9,0.7,45,52,46.4,0.7,16.1,87.2,103.3,48.6,51.4,8:33,8:33,3,0,-0.5,14,57.1
156,Phillip Danault,23,MTL,LW,82,1236,989,55.6,4.3,877,713,55.2,3.9,7.5,92.3,99.8,48.1,51.9,15:35,13:50,49,36,11.6,226,58.8
157,Marko Dano,22,WPG,C,38,289,314,47.9,-0.8,207,216,48.9,-0.7,5.9,94.9,100.8,44.6,55.4,10:41,9:11,18,10,0.2,77,57.1
158,Laurent Dauphin,21,ARI,C,24,183,216,45.9,-0.6,137,163,45.7,0.3,4.2,94.4,98.6,31.1,68.9,10:55,9:09,9,3,-3.4,41,78.0
159,Brandon Davidson,25,TOT,D,38,513,493,51.0,2.3,377,357,51.4,1.1,7.4,91.5,98.9,50.0,50.0,15:43,14:48,7,20,0.1,90,46.7
160,Calvin de Haan,25,NYI,D,82,1295,1401,48.0,0.7,943,978,49.1,1.9,10.0,91.8,101.7,47.1,52.9,19:51,17:21,24,53,9.2,252,46.0
161,Jacob de La Rose,21,MTL,LW,9,56,78,41.8,-9.2,39,52,42.9,-7.3,4.8,89.7,94.5,18.5,81.5,10:54,8:47,4,0,-2.0,9,44.4
162,Jean-Sebastien Dea,22,PIT,C,1,9,11,45.0,-10.8,5,8,38.5,-12.4,0.0,100.0,100.0,41.7,58.3,11:18,11:18,0,0,-0.2,3,33.3
163,Anthony DeAngelo,21,ARI,D,39,529,622,46.0,1.5,411,503,45.0,0.7,4.8,92.5,97.3,56.5,43.5,17:06,14:35,4,22,-7.6,111,54.1
164,Danny DeKeyser,26,DET,D,82,1208,1385,46.6,-3.1,926,1040,47.1,-2.3,8.3,89.2,97.5,49.2,50.8,21:56,18:43,16,45,-0.2,177,48.0
165,Michael Del Zotto,26,PHI,D,51,868,852,50.5,0.2,631,607,51.0,0.3,7.9,91.4,99.3,54.0,46.0,19:30,17:16,9,30,1.9,188,48.9
166,Dylan DeMelo,23,SJS,D,25,327,334,49.5,0.5,230,241,48.8,-1.2,9.7,92.6,102.4,53.3,46.7,15:54,14:15,4,12,1.9,70,45.7
167,Jason Demers,28,FLA,D,81,1132,1190,48.8,-2.7,874,927,48.5,-2.3,8.2,90.2,98.4,49.8,50.2,19:37,16:15,19,31,-10.4,199,49.2
168,David Desharnais,30,TOT,C,49,497,505,49.6,0.5,352,364,49.2,-1.2,8.2,93.8,102.0,59.1,40.9,12:28,11:27,21,12,-2.5,72,63.9
169,Andrew Desjardins,30,CHI,LW,46,381,381,50.0,-1.0,269,267,50.2,-0.5,4.9,91.5,96.4,40.1,59.9,9:24,8:45,9,10,0.8,84,54.8
170,Nicolas Deslauriers,25,BUF,LW,42,197,299,39.7,-6.7,143,231,38.2,-8.8,3.8,94.5,98.3,55.0,45.0,7:25,7:22,2,3,-6.0,46,56.5
171,Simon Despres,25,ANA,D,1,5,12,29.4,-25.3,4,6,40.0,-16.6,0.0,100.0,100.0,57.1,42.9,16:08,9:28,0,0,0.0,2,50.0
172,Phillip Di Giuseppe,23,CAR,LW,36,427,365,53.9,2.8,324,281,53.6,4.0,3.9,89.4,93.4,62.4,37.6,12:18,11:47,12,13,0.1,113,60.2
173,Jason Dickinson,21,DAL,C,10,101,89,53.2,3.3,74,65,53.2,1.3,3.6,89.8,93.4,56.3,43.8,11:47,11:42,3,0,1.3,19,47.4
174,Christopher Didomenico,27,OTT,RW,3,30,28,51.7,-2.7,25,22,53.2,-2.0,7.1,92.3,99.5,62.5,37.5,11:01,10:10,0,0,0.1,7,71.4
175,Brenden Dillon,26,SJS,D,81,1209,1074,53.0,2.4,867,740,54.0,2.4,5.7,92.9,98.6,53.4,46.6,16:23,15:30,11,34,6.7,201,42.3
176,Shane Doan,40,ARI,RW,74,921,1006,47.8,3.0,667,784,46.0,1.5,7.3,93.7,101.0,42.6,57.4,15:03,13:29,26,34,-8.9,238,60.1
177,Max Domi,21,ARI,LW,59,753,897,45.6,2.0,562,699,44.6,1.3,9.6,91.3,100.9,48.3,51.7,16:59,14:18,27,36,-9.6,209,51.7
178,Joonas Donskoi,24,SJS,RW,61,726,645,53.0,2.8,524,463,53.1,1.7,6.4,91.5,97.9,52.6,47.4,13:41,12:18,31,35,3.4,167,56.3
179,Derek Dorsett,30,VAN,RW,14,115,100,53.5,-0.3,84,74,53.2,0.4,7.2,82.3,89.5,52.8,47.2,9:56,9:34,2,1,0.2,33,72.7
180,Jake Dotchin,22,TBL,D,35,601,519,53.7,2.6,437,410,51.6,1.0,9.2,94.6,103.7,60.9,39.1,18:26,17:23,4,23,1.3,113,44.2
181,Drew Doughty,27,LAK,D,82,1743,1413,55.2,0.8,1261,1092,53.6,-1.6,7.2,92.6,99.8,54.4,45.6,27:09,21:18,24,86,10.4,365,49.6
182,Nic Dowd,26,LAK,C,70,769,566,57.6,3.2,564,393,58.9,5.5,4.2,88.3,92.5,64.1,35.9,12:27,10:50,19,22,5.4,144,54.2
183,Justin Dowling,26,DAL,C,9,79,67,54.1,9.1,57,55,50.9,4.2,4.7,95.1,99.8,32.6,67.4,10:28,10:16,3,1,-0.6,21,52.4
184,Leon Draisaitl,21,EDM,C,82,1269,1165,52.1,2.9,949,851,52.7,2.3,10.3,90.4,100.7,54.0,46.0,18:53,15:27,75,75,12.2,298,58.1
185,Jonathan Drouin,21,TBL,LW,73,1008,904,52.7,1.5,761,706,51.9,1.4,7.9,90.7,98.6,58.1,41.9,17:42,14:37,45,65,-1.5,323,56.7
186,Brandon Dubinsky,30,CBJ,C,80,1182,1223,49.1,-1.7,852,883,49.1,-2.0,9.1,93.0,102.1,41.8,58.2,17:54,14:45,38,32,-2.8,203,56.2
187,Matt Duchene,26,COL,C,77,1085,1041,51.0,3.0,824,797,50.8,3.9,7.0,87.7,94.7,47.1,52.9,18:17,14:41,60,46,-1.2,275,58.2
188,Anthony Duclair,21,ARI,LW,58,643,727,46.9,2.1,485,560,46.4,2.3,7.9,91.7,99.6,56.7,43.3,13:18,12:02,30,22,-2.3,146,52.1
189,Mathew Dumba,22,MIN,D,76,1172,1237,48.7,-1.4,868,933,48.2,-2.7,10.9,91.9,102.8,52.9,47.1,20:19,17:14,18,43,5.1,292,44.9
190,Gabriel Dumont,26,TBL,C,39,303,313,49.2,-4.0,224,229,49.4,-2.4,5.5,96.3,101.8,23.7,76.3,9:40,9:17,6,5,-0.2,66,51.5
191,Brian Dumoulin,25,PIT,D,70,1196,1161,50.7,0.9,902,860,51.2,0.3,8.1,91.5,99.6,53.1,46.9,20:32,18:11,25,37,2.2,182,42.9
192,Christian Dvorak,20,ARI,LW,78,893,1141,43.9,-1.9,652,883,42.5,-2.7,9.5,93.9,103.4,49.5,50.5,15:37,13:20,14,15,-9.7,164,53.7
193,Ryan Dzingel,24,OTT,LW,81,993,1031,49.1,1.1,724,761,48.8,0.1,8.3,92.9,101.3,52.3,47.7,14:23,12:51,23,25,1.6,203,60.6
194,Cody Eakin,25,DAL,C,60,810,822,49.6,-1.7,594,601,49.7,-2.0,5.9,92.3,98.1,49.3,50.7,16:49,13:57,24,33,1.2,168,48.8
195,Patrick Eaves,32,TOT,RW,79,1117,1030,52.0,3.0,842,715,54.1,5.1,8.2,91.1,99.3,49.3,50.7,16:25,13:18,30,19,4.4,360,58.1
196,Jordan Eberle,26,EDM,RW,82,1235,1102,52.8,3.8,932,788,54.2,4.3,7.7,92.7,100.4,55.5,44.5,16:45,14:26,38,44,9.1,379,54.9
197,Alexander Edler,30,VAN,D,68,1227,1264,49.3,1.2,905,993,47.7,0.7,7.0,90.9,97.9,50.0,50.0,24:19,19:41,17,37,-11.7,309,44.7
198,Joel Edmundson,23,STL,D,69,971,1045,48.2,-2.1,711,778,47.8,-3.0,8.3,93.9,102.1,48.5,51.5,17:46,15:51,7,26,-4.0,171,47.4
199,Nikolaj Ehlers,20,WPG,LW,82,1183,1114,51.5,3.1,897,849,51.4,2.6,11.0,89.6,100.5,55.1,44.9,17:29,14:50,36,51,4.9,377,53.8
200,Jack Eichel,20,BUF,C,61,963,1055,47.7,1.2,756,788,49.0,2.7,8.0,90.9,98.9,52.4,47.6,19:55,16:42,38,46,-5.5,429,58.3
201,Aaron Ekblad,20,FLA,D,68,1172,1078,52.1,2.1,889,856,50.9,0.9,5.2,91.2,96.5,59.7,40.3,21:28,17:51,25,58,-6.5,408,55.1
202,Mattias Ekholm,26,NSH,D,82,1559,1396,52.8,2.6,1171,1068,52.3,2.5,7.1,92.6,99.6,45.7,54.3,23:27,19:42,38,66,6.4,284,42.3
203,Oliver Ekman-Larsson,25,ARI,D,79,1317,1587,45.4,0.0,996,1230,44.7,0.1,8.0,91.0,99.0,42.7,57.3,24:37,19:18,18,48,-19.5,330,43.9
204,Remi Elie,21,DAL,LW,18,227,251,47.5,-5.1,160,181,46.9,-6.2,8.5,94.6,103.2,47.6,52.4,15:38,14:31,12,13,1.0,40,37.5
205,Lars Eller,27,WSH,C,81,934,803,53.8,3.1,670,595,53.0,2.6,8.4,93.6,102.0,54.9,45.1,13:54,11:34,31,32,3.8,225,51.1
206,Ryan Ellis,26,NSH,D,71,1320,1357,49.3,-1.7,976,1013,49.1,-1.8,9.2,92.7,101.9,47.7,52.3,23:57,19:03,37,41,-5.3,281,49.8
207,Alexei Emelin,30,MTL,D,76,1297,1299,50.0,-3.5,925,928,49.9,-3.3,7.0,93.5,100.5,43.5,56.5,21:19,18:41,16,84,2.0,200,41.0
208,Deryk Engelland,34,CGY,D,81,993,1139,46.6,-5.6,728,850,46.1,-5.6,8.1,92.8,101.0,44.7,55.3,18:20,14:59,19,49,-11.7,218,49.1
209,Andreas Englund,21,OTT,D,5,38,50,43.2,-2.8,28,38,42.4,-3.0,6.3,83.3,89.6,55.6,44.4,10:35,9:04,0,2,-1.6,7,42.9
210,Tyler Ennis,27,BUF,LW,51,531,561,48.6,1.4,403,427,48.6,1.1,4.5,92.6,97.1,51.5,48.5,12:50,11:30,19,17,-3.3,145,61.4
211,Toby Enstrom,32,WPG,D,60,865,905,48.9,-2.2,651,688,48.6,-2.4,9.3,89.7,99.0,50.1,49.9,21:54,17:23,8,33,4.3,111,41.4
212,Jonathan Ericsson,32,DET,D,51,707,818,46.4,-1.8,545,653,45.5,-3.0,9.7,91.7,101.4,42.0,58.0,19:13,17:02,9,27,-12.6,95,45.3
213,Loui Eriksson,31,VAN,LW,65,890,872,50.5,3.4,636,675,48.5,2.1,7.0,91.5,98.6,50.5,49.5,18:40,14:47,37,16,-6.9,212,62.3
214,Joel Eriksson Ek,20,MIN,LW,15,119,167,41.6,-12.0,94,130,42.0,-11.3,10.9,94.0,104.9,56.0,44.0,10:37,10:04,3,3,-1.4,25,60.0
215,Adam Erne,21,TBL,LW,26,250,243,50.7,0.0,187,178,51.2,2.3,3.2,90.1,93.3,52.1,47.9,11:48,10:49,2,5,0.9,65,61.5
216,Emerson Etem,24,ANA,LW,3,11,20,35.5,-13.9,7,15,31.8,-17.8,20.0,100.0,120.0,40.0,60.0,8:48,8:07,0,0,-0.7,0,
217,Robby Fabbri,21,STL,C,51,616,577,51.6,0.7,458,440,51.0,-0.3,8.4,87.9,96.2,62.1,37.9,15:37,13:17,20,8,-5.3,160,56.9
218,Radek Faksa,23,DAL,C,80,1090,1016,51.8,2.2,801,733,52.2,2.1,8.6,89.8,98.4,40.7,59.3,16:10,13:41,43,36,0.2,249,53.0
219,Justin Falk,28,BUF,D,52,602,586,50.7,5.2,460,447,50.7,4.7,5.6,93.3,98.9,50.3,49.7,13:42,12:56,7,22,1.8,86,38.4
220,Bobby Farnham,28,MTL,RW,3,17,36,32.1,-15.4,14,25,35.9,-11.1,0.0,100.0,100.0,75.0,25.0,8:16,8:16,0,0,-0.3,4,100.0
221,Hudson Fasching,21,BUF,RW,10,83,81,50.6,4.8,63,68,48.1,2.4,2.3,96.3,98.6,55.8,44.2,10:25,9:42,1,1,-0.6,13,46.2
222,Jesper Fast,25,NYR,RW,68,694,764,47.6,-1.0,511,549,48.2,-1.4,10.0,92.3,102.3,41.3,58.7,13:48,12:07,29,21,-1.0,101,55.4
223,Justin Faulk,24,CAR,D,75,1466,1328,52.5,2.3,1098,1024,51.7,2.6,6.7,90.3,97.1,55.7,44.3,23:08,19:34,53,45,2.4,445,50.6
224,Mark Fayne,29,EDM,D,4,32,25,56.1,6.1,25,19,56.8,8.0,11.1,94.4,105.6,72.7,27.3,7:55,7:55,0,2,0.4,7,57.1
225,Taylor Fedun,28,BUF,D,27,315,269,53.9,9.5,226,206,52.3,7.3,7.5,94.0,101.4,54.7,45.3,13:22,12:08,5,9,0.0,45,53.3
226,Eric Fehr,31,TOT,C,53,357,487,42.3,-9.4,275,323,46.0,-6.6,8.2,94.4,102.6,23.1,76.9,10:56,8:52,24,10,1.5,97,63.9
227,Micheal Ferland,24,CGY,LW,76,749,765,49.5,-1.2,539,587,47.9,-2.7,8.2,92.2,100.4,50.4,49.6,11:34,10:58,36,38,-1.4,172,61.6
228,Kevin Fiala,20,NSH,LW,54,699,572,55.0,5.3,515,429,54.6,5.4,5.5,93.9,99.4,58.7,41.3,13:31,12:28,39,27,6.6,183,62.3
229,Vernon Fiddler,36,TOT,LW,59,388,558,41.0,-8.5,300,409,42.3,-7.2,5.3,91.7,97.0,23.9,76.1,11:33,9:38,12,21,-6.3,87,52.9
230,Valtteri Filppula,32,TOT,C,79,975,1019,48.9,-3.0,754,774,49.3,-2.2,9.6,90.5,100.1,48.6,51.4,17:24,13:47,30,39,-4.1,147,66.0
231,Christian Fischer,19,ARI,RW,7,55,85,39.3,-3.4,37,63,37.0,-7.4,12.0,93.0,105.0,50.0,50.0,12:20,12:06,0,3,-1.2,15,66.7
232,Mike Fisher,36,NSH,C,72,825,811,50.4,-1.1,618,599,50.8,-0.4,8.3,91.0,99.3,39.6,60.4,16:37,12:26,21,19,2.2,194,61.9
233,Brian Flynn,28,MTL,C,51,434,490,47.0,-6.1,313,321,49.4,-2.8,9.6,92.9,102.5,31.8,68.2,12:04,10:31,13,15,-2.0,92,51.1
234,Marcus Foligno,25,BUF,LW,80,981,1091,47.3,0.2,771,820,48.5,1.6,7.5,93.0,100.6,39.8,60.2,15:28,14:10,33,35,-2.5,175,55.4
235,Nick Foligno,29,CBJ,LW,79,1124,1066,51.3,1.6,851,805,51.4,1.6,7.8,91.1,98.9,57.4,42.6,18:26,15:08,44,35,2.7,280,66.1
236,Christian Folin,25,MIN,D,51,619,703,46.8,-3.3,468,532,46.8,-3.5,8.9,94.0,102.9,45.1,54.9,14:56,13:49,9,15,2.5,94,41.5
237,Derek Forbort,24,LAK,D,82,1309,1253,51.1,-5.5,964,934,50.8,-5.6,7.5,93.1,100.6,53.1,46.9,20:07,17:47,9,73,4.1,212,47.2
238,Jakob Forsbacka Karlsson,20,BOS,C,1,7,4,63.6,15.0,5,3,62.5,16.2,0.0,100.0,100.0,33.3,66.7,8:25,8:25,0,0,0.4,0,
239,Filip Forsberg,22,NSH,LW,82,1257,1065,54.1,4.2,951,822,53.6,4.1,8.6,89.6,98.2,56.4,43.6,18:31,14:22,76,62,2.7,467,50.3
240,Gustav Forsling,20,CHI,D,38,446,474,48.5,-2.9,315,363,46.5,-4.0,7.0,94.9,101.8,58.1,41.9,14:49,13:44,5,27,-4.5,121,39.7
241,Cam Fowler,25,ANA,D,80,1397,1412,49.7,0.2,1054,1058,49.9,-0.2,9.4,91.8,101.1,46.4,53.6,24:51,18:57,30,68,5.4,372,50.0
242,Cody Franson,29,BUF,D,68,983,966,50.4,4.3,759,736,50.8,5.0,6.8,92.3,99.0,46.3,53.7,18:29,16:12,14,30,4.5,200,46.5
243,Martin Frk,23,CAR,RW,2,11,13,45.8,-11.7,6,12,33.3,-26.1,0.0,70.0,70.0,33.3,66.7,8:20,8:18,0,1,-0.2,3,33.3
244,Byron Froese,25,TOT,C,6,50,63,44.2,-5.1,39,38,50.6,2.0,0.0,88.0,88.0,48.6,51.4,10:33,9:51,3,2,-0.5,9,66.7
245,Michael Frolik,28,CGY,RW,82,1193,942,55.9,7.6,882,701,55.7,8.1,8.6,91.0,99.7,37.2,62.8,17:05,13:47,45,38,7.8,352,57.4
246,Marian Gaborik,34,LAK,RW,56,783,614,56.0,1.0,592,462,56.2,1.4,6.1,91.6,97.6,54.6,45.4,14:47,13:15,7,24,9.4,216,56.9
247,Kurtis Gabriel,23,MIN,RW,13,41,84,32.8,-12.5,32,68,32.0,-15.7,8.7,95.7,104.3,68.3,31.7,5:49,5:37,0,3,-0.6,6,50.0
248,Sam Gagner,27,CBJ,C,81,946,780,54.8,5.8,712,567,55.7,6.8,8.2,91.9,100.1,52.3,47.7,13:43,11:15,17,27,14.8,306,58.5
249,Alex Galchenyuk,22,MTL,C,61,839,827,50.4,-1.8,613,624,49.6,-2.7,9.4,90.8,100.2,68.3,31.7,15:55,13:37,17,34,-4.3,198,52.5
250,Brendan Gallagher,24,MTL,RW,64,931,737,55.8,4.3,679,535,55.9,4.7,6.5,93.8,100.4,53.9,46.1,15:06,13:00,33,25,9.7,326,57.4
251,Ryan Garbutt,31,ANA,LW,27,171,217,44.1,-6.8,134,166,44.7,-6.0,6.6,91.7,98.3,58.6,41.4,9:10,7:55,3,3,-2.3,57,45.6
252,Jake Gardiner,26,TOR,D,82,1590,1432,52.6,3.2,1191,1110,51.8,2.9,9.5,93.1,102.6,54.5,45.5,21:18,18:25,44,79,7.8,317,40.1
253,Jason Garrison,32,TBL,D,70,948,1030,47.9,-5.4,737,785,48.4,-3.4,7.0,92.0,99.0,43.3,56.7,18:34,16:16,8,33,-8.5,193,49.7
254,Tyler Gaudet,23,ARI,C,4,21,48,30.4,-14.3,14,37,27.5,-15.9,11.1,95.7,106.8,21.7,78.3,12:59,10:43,0,0,-0.8,9,33.3
255,Frederick Gaudreau,23,NSH,C,9,81,80,50.3,-6.9,59,52,53.2,-1.7,8.7,92.3,101.0,39.3,60.7,8:40,8:29,2,1,0.2,12,66.7
256,Johnny Gaudreau,23,CGY,LW,72,1048,977,51.8,1.7,773,733,51.3,1.5,8.6,90.2,98.7,63.3,36.7,18:29,15:10,44,86,9.9,307,59.3
257,Brendan Gaunce,22,VAN,LW,57,441,427,50.8,3.2,324,324,50.0,3.5,5.0,94.0,99.0,42.2,57.8,9:30,8:57,11,6,-0.5,81,63.0
258,Cameron Gaunce,26,PIT,D,12,142,138,50.7,1.7,102,90,53.1,4.3,7.8,92.2,100.0,65.1,34.9,12:31,11:29,2,5,1.8,17,47.1
259,Frederik Gauthier,21,TOR,C,21,139,158,46.8,-2.7,99,115,46.3,-2.5,10.6,93.9,104.5,28.2,71.8,9:42,8:33,5,3,-1.0,25,60.0
260,Luke Gazdic,27,NJD,LW,11,33,75,30.6,-12.9,26,55,32.1,-11.2,0.0,95.0,95.0,30.0,70.0,7:08,7:07,1,0,-1.3,5,60.0
261,Eric Gelinas,25,COL,D,27,262,281,48.3,0.2,194,224,46.4,-2.3,6.9,91.7,98.6,51.3,48.7,11:35,11:23,3,6,-6.1,62,46.8
262,Ryan Getzlaf,31,ANA,C,74,1102,1107,49.9,1.0,814,810,50.1,0.8,10.6,91.0,101.6,47.8,52.2,21:04,16:17,61,68,3.7,288,47.9
263,Tom Gilbert,34,LAK,D,18,210,194,52.0,-3.2,151,140,51.9,-2.9,3.8,92.8,96.6,55.8,44.2,15:27,12:46,1,7,0.8,30,40.0
264,Brian Gionta,38,BUF,RW,82,901,1107,44.9,-3.3,693,840,45.2,-2.9,6.5,92.6,99.1,39.3,60.7,16:36,13:13,28,26,-4.2,243,61.3
265,Stephen Gionta,33,NYI,RW,26,189,237,44.4,-6.3,138,182,43.1,-6.5,13.1,95.4,108.5,45.2,54.8,11:12,9:48,5,6,-2.6,28,60.7
266,Mark Giordano,33,CGY,D,81,1432,1238,53.6,5.0,1065,898,54.3,6.6,9.3,91.5,100.8,48.9,51.1,23:35,17:38,45,43,8.2,356,42.4
267,Dan Girardi,32,NYR,D,63,909,1155,44.0,-5.5,690,810,46.0,-4.1,9.3,92.7,102.1,44.3,55.7,19:06,16:49,10,46,-9.0,125,44.8
268,Zemgus Girgensons,23,BUF,C,75,718,811,47.0,-1.2,544,629,46.4,-1.9,5.5,93.6,99.1,50.7,49.3,13:10,11:56,17,16,-0.5,189,59.3
269,Claude Giroux,29,PHI,C,82,1298,1122,53.6,3.5,938,809,53.7,3.0,7.6,89.4,96.9,57.6,42.4,19:07,15:07,38,35,3.0,366,54.4
270,Tanner Glass,33,NYR,LW,11,93,104,47.2,-3.1,70,79,47.0,-5.8,4.5,96.2,100.8,44.4,55.6,10:55,10:37,2,0,-1.3,18,44.4
271,Luke Glendening,27,DET,C,74,566,750,43.0,-6.8,440,546,44.6,-4.6,5.8,92.7,98.4,33.9,66.1,12:55,10:33,19,12,-3.0,123,62.6
272,Nikolay Goldobin,21,TOT,RW/LW,14,133,169,44.0,-2.9,93,133,41.2,-5.6,7.7,95.4,103.1,63.8,36.2,11:22,10:51,3,8,-5.5,28,50.0
273,Alex Goligoski,31,ARI,D,82,1361,1603,45.9,1.2,1019,1223,45.5,1.5,8.9,91.1,100.1,44.6,55.4,23:20,18:40,15,57,-20.4,235,47.7
274,Cody Goloubef,27,COL,D,33,459,470,49.4,1.0,333,344,49.2,2.3,5.8,89.1,95.0,41.5,58.5,16:59,15:02,5,7,-5.7,62,56.5
275,Barclay Goodrow,23,SJS,RW,3,19,33,36.5,-11.8,11,23,32.4,-18.2,0.0,100.0,100.0,54.5,45.5,11:18,10:52,1,1,-1.1,6,50.0
276,Boyd Gordon,33,PHI,C,13,70,83,45.8,-6.5,49,54,47.6,-4.3,5.6,81.1,86.6,63.6,36.4,8:11,6:39,2,0,-1.1,13,61.5
277,Josh Gorges,32,BUF,D,66,844,1025,45.2,-3.3,662,766,46.4,-1.3,5.7,94.1,99.8,43.3,56.7,18:27,15:46,7,17,-6.3,80,50.0
278,Shayne Gostisbehere,23,PHI,D,76,1247,1076,53.7,3.4,930,811,53.4,2.4,6.4,90.0,96.4,68.8,31.2,19:35,15:41,18,70,4.9,430,46.0
279,Yanni Gourde,25,TBL,C,20,272,199,57.7,9.6,205,164,55.6,7.9,6.8,90.7,97.4,48.9,51.1,15:22,13:08,12,4,2.8,54,55.6
280,Michael Grabner,29,NYR,RW,76,791,967,45.0,-4.1,611,683,47.2,-2.6,11.8,93.1,104.9,43.2,56.8,14:06,12:19,48,22,-3.8,263,61.2
281,Petter Granberg,24,NSH,D,10,76,90,45.8,-10.4,62,69,47.3,-8.4,11.1,89.1,100.2,50.8,49.2,9:38,9:17,0,1,0.9,6,66.7
282,Markus Granlund,23,VAN,C,69,886,848,51.1,3.7,631,659,48.9,2.3,7.2,89.4,96.6,51.4,48.6,17:18,14:09,33,18,-6.7,220,55.5
283,Mikael Granlund,24,MIN,C,81,1104,1135,49.3,0.0,839,840,50.0,0.2,11.5,92.2,103.7,38.7,61.3,18:49,15:01,43,33,16.5,317,55.8
284,Derek Grant,26,TOT,C,46,256,344,42.7,-5.0,187,252,42.6,-5.3,4.4,94.4,98.8,34.6,65.4,9:46,7:09,10,9,-2.0,66,60.6
285,Tyler Graovac,23,MIN,C,52,353,543,39.4,-10.7,273,405,40.3,-10.2,9.4,96.2,105.6,63.7,36.3,9:50,9:44,16,4,-4.3,84,57.1
286,Kevin Gravel,24,LAK,D,49,611,509,54.6,1.5,457,355,56.3,3.2,6.6,92.7,99.4,66.1,33.9,14:09,12:40,2,24,4.2,116,44.8
287,Mike Green,31,DET,D,72,1215,1306,48.2,-0.1,921,994,48.1,-0.2,7.4,90.7,98.1,51.9,48.1,23:33,20:15,24,52,-2.6,284,44.0
288,Andy Greene,34,NJD,D,66,948,1082,46.7,-1.5,733,832,46.8,-1.2,6.4,91.6,98.0,35.2,64.8,21:45,17:22,26,36,-3.0,189,43.4
289,Matt Greene,33,LAK,D,26,290,268,52.0,-3.0,207,192,51.9,-3.6,6.4,95.7,102.1,58.1,41.9,13:11,11:58,3,17,-1.6,50,28.0
290,A.J. Greer,20,COL,LW,5,61,56,52.1,8.7,48,37,56.5,15.2,2.9,90.3,93.3,50.9,49.1,13:39,12:50,1,2,0.0,10,70.0
291,Alexandre Grenier,25,VAN,RW,3,19,10,65.5,18.4,11,8,57.9,13.9,0.0,83.3,83.3,71.4,28.6,6:29,6:29,0,0,0.6,4,25.0
292,Seth Griffith,24,TOT,C,24,261,230,53.2,3.6,207,186,52.7,4.1,6.6,97.2,103.8,59.5,40.5,12:44,11:24,5,6,-0.4,50,42.0
293,Mikhail Grigorenko,22,COL,C,75,710,795,47.2,-2.4,524,601,46.6,-2.3,7.2,90.6,97.8,48.7,51.3,14:05,11:08,35,26,-9.8,147,57.8
294,Rocco Grimaldi,23,COL,C,4,42,53,44.2,-8.1,31,39,44.3,-6.2,4.2,85.7,89.9,41.4,58.6,11:00,11:00,3,0,0.0,18,61.1
295,Nicklas Grossmann,32,CGY,D,3,29,33,46.8,-2.2,21,27,43.8,-6.6,0.0,75.0,75.0,31.3,68.8,13:01,11:56,0,1,-0.7,7,42.9
296,Eric Gryba,28,EDM,D,40,570,537,51.5,-0.4,410,402,50.5,-2.7,5.8,92.7,98.4,51.5,48.5,16:08,14:48,6,21,-2.5,101,44.6
297,Matt Grzelcyk,23,BOS,D,2,27,26,50.9,-10.3,20,19,51.3,-5.2,11.8,87.5,99.3,75.0,25.0,12:29,10:49,0,0,-0.3,8,50.0
298,Radko Gudas,26,PHI,D,67,1178,1036,53.2,2.1,825,697,54.2,2.7,8.9,91.2,100.0,45.4,54.6,19:18,17:19,18,40,5.1,299,37.8
299,Erik Gudbranson,25,VAN,D,30,440,484,47.6,-2.0,324,374,46.4,-3.2,6.1,88.8,94.9,50.4,49.6,20:20,17:26,4,23,-5.3,88,45.5
300,Jake Guentzel,22,PIT,C,40,620,586,51.4,2.9,464,429,52.0,1.7,11.3,90.6,101.9,60.3,39.7,15:53,14:30,16,9,5.6,136,59.6
301,Brendan Guhle,19,BUF,D,3,38,53,41.8,-9.3,27,35,43.5,-8.8,8.3,96.7,105.0,48.8,51.2,16:21,16:19,0,0,0.1,9,44.4
302,Carl Gunnarsson,30,STL,D,56,545,566,49.1,-1.2,406,406,50.0,-0.5,5.2,92.7,97.9,52.9,47.1,13:36,12:47,2,8,2.8,72,44.4
303,Denis Gurianov,19,DAL,RW,1,6,16,27.3,-34.3,3,9,25.0,-40.8,0.0,85.7,85.7,40.0,60.0,13:06,13:06,0,0,-0.6,3,0.0
304,Carl Hagelin,28,PIT,LW,61,813,719,53.1,3.7,632,528,54.5,3.9,8.1,92.7,100.8,57.4,42.6,15:29,13:08,19,21,7.1,199,63.8
305,Robert Hagg,21,PHI,D,1,22,16,57.9,-2.3,14,14,50.0,-15.0,10.0,90.9,100.9,45.5,54.5,21:19,19:45,0,0,-0.1,9,55.6
306,Ron Hainsey,35,TOT,D,72,1290,1300,49.8,-2.0,955,996,48.9,-2.3,7.5,91.5,99.0,52.1,47.9,22:02,18:45,25,47,-2.1,186,38.2
307,Micheal Haley,30,SJS,C,58,459,487,48.5,-4.0,334,330,50.3,-3.0,9.1,93.2,102.3,54.0,46.0,9:04,9:01,18,19,2.6,86,44.2
308,Taylor Hall,25,NJD,LW,72,1105,1011,52.2,7.6,861,782,52.4,7.3,7.2,91.5,98.8,50.0,50.0,19:19,16:17,43,44,3.2,391,60.6
309,Dan Hamhuis,34,DAL,D,79,1298,1177,52.4,3.4,942,856,52.4,2.6,7.6,91.1,98.7,49.0,51.0,19:22,15:46,19,37,-0.1,201,41.3
