,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,SAtt.,Thru%
431,Marcus Kruger,21,CHI,C,71,825,727,53.2,-0.1,643,537,54.5,1.4,8.5,92.6,101.1,44.4,55.6,15:24,12:30,25,22,131,67.9
432,Filip Kuba,35,OTT,D,73,1380,1278,51.9,-3.2,1006,960,51.2,-1.9,10.3,92.2,102.6,56.8,43.2,23:37,18:15,23,66,193,40.4
433,Tomas Kubalik,21,CBJ,RW,8,76,93,45.0,-9.1,56,63,47.1,-6.9,7.3,87.5,94.8,46.4,53.6,13:18,11:41,0,4,15,53.3
434,Pavel Kubina,34,TOT,D,69,1008,1087,48.1,-5.2,739,783,48.6,-5.6,10.0,90.2,100.2,46.2,53.8,19:16,16:19,18,26,158,47.5
435,Arturs Kulda,23,WPG,D,9,77,101,43.3,-7.3,64,78,45.1,-7.5,10.4,95.5,105.9,60.0,40.0,10:52,10:52,0,3,14,57.1
436,Nikolai Kulemin,25,TOR,LW,70,913,883,50.8,1.1,642,655,49.5,-0.2,8.9,92.0,100.9,52.0,48.0,15:13,13:08,34,23,231,45.9
437,Dmitry Kulikov,21,FLA,D,58,884,960,47.9,-2.7,670,733,47.8,-3.3,8.6,91.9,100.5,45.0,55.0,21:51,17:58,25,44,243,42.8
438,Tomas Kundratek,22,WSH,D,5,31,52,37.3,-1.6,18,33,35.3,-3.0,0.0,100.0,100.0,50.0,50.0,9:45,9:38,1,2,5,40.0
439,Chris Kunitz,32,PIT,LW,82,1388,987,58.4,4.8,1042,719,59.2,4.9,9.7,90.2,99.9,62.7,37.3,18:19,14:37,28,30,397,57.7
440,Milan Kytnar,22,EDM,C,1,3,0,100.0,41.5,2,0,100.0,47.6,0.0,,,,,5:31,5:31,2,1,2,50.0
441,Teemu Laakso,24,NSH,D,9,75,119,38.7,-4.4,50,86,36.8,-7.5,5.1,95.5,100.6,44.0,56.0,11:35,10:58,0,6,11,36.4
442,Pierre-Cedric Labrie,25,TBL,LW,14,66,65,50.4,8.0,49,36,57.6,13.9,6.5,84.0,90.5,37.9,62.1,5:54,5:54,4,2,17,29.4
443,Andrew Ladd,26,WPG,LW,82,1368,1105,55.3,5.8,1036,844,55.1,4.4,7.7,89.9,97.6,57.6,42.4,19:34,15:20,40,43,431,61.5
444,Brooks Laich,28,WSH,C,82,978,1124,46.5,-2.7,724,819,46.9,-2.7,8.5,91.6,100.0,42.2,57.8,18:30,13:45,52,31,298,64.1
445,Anton Lander,20,EDM,C,56,359,489,42.3,-7.4,260,346,42.9,-7.9,5.1,91.9,97.0,50.8,49.2,10:37,8:54,15,14,84,64.3
446,Gabriel Landeskog,19,COL,LW,82,1323,1034,56.1,5.0,992,786,55.8,5.8,8.0,92.8,100.9,55.1,44.9,18:37,15:02,58,35,406,66.5
447,Jamie Langenbrunner,36,STL,RW,70,884,697,55.9,0.6,669,500,57.2,1.1,6.8,93.0,99.7,55.3,44.7,14:37,12:35,15,10,205,62.0
448,Daymond Langkow,35,PHX,C,73,889,818,52.1,3.6,682,621,52.3,4.9,8.6,89.8,98.5,53.0,47.0,15:45,13:16,34,21,198,56.6
449,Maxim Lapierre,26,VAN,C,82,629,763,45.2,-10.5,463,582,44.3,-10.0,7.5,93.2,100.7,22.3,77.7,11:14,10:01,17,9,168,61.3
450,Chad Larose,29,CAR,RW,67,977,977,50.0,1.1,716,722,49.8,0.9,6.5,90.4,96.9,45.9,54.1,16:46,14:01,26,19,332,59.9
451,Philip Larsen,22,DAL,D,55,882,849,51.0,-0.8,620,625,49.8,-2.1,10.0,92.6,102.6,51.0,49.0,17:57,16:14,10,32,165,41.8
452,Adam Larsson,19,NJD,D,65,936,900,51.0,-0.8,699,714,49.5,-2.7,8.4,90.8,99.2,52.9,47.1,20:37,18:32,12,44,153,44.4
453,Guillaume Latendresse,24,MIN,RW,16,171,221,43.6,-1.3,127,174,42.2,-6.0,10.2,96.7,106.9,41.7,58.3,15:11,12:35,12,6,61,59.0
454,Brett Lebda,30,CBJ,D,30,356,409,46.5,0.5,269,324,45.4,-1.3,11.3,90.6,101.9,43.8,56.2,16:29,14:56,7,9,70,51.4
455,Louis Leblanc,21,MTL,C,42,346,418,45.3,-0.6,248,305,44.8,0.2,8.6,93.9,102.5,47.8,52.2,11:12,10:42,15,9,97,59.8
456,Vincent Lecavalier,31,TBL,C,64,941,980,49.0,0.5,685,730,48.4,-1.6,11.5,89.5,101.0,54.3,45.7,18:56,15:17,24,34,308,59.1
457,Nick Leddy,20,CHI,D,82,1412,1242,53.2,-0.4,1049,943,52.7,-1.2,7.9,89.9,97.8,55.1,44.9,22:05,18:33,30,41,201,46.8
458,Brian Lee,24,TOT,D,55,616,700,46.8,-3.3,454,530,46.1,-3.4,8.8,91.5,100.3,50.8,49.2,15:32,13:47,9,25,87,36.8
459,David Legwand,31,NSH,C,78,1064,1058,50.1,3.4,812,793,50.6,3.3,8.7,91.3,100.0,45.6,54.4,18:31,14:56,46,43,220,63.6
460,Ville Leino,28,BUF,LW,71,990,933,51.5,1.0,715,728,49.5,-1.1,7.3,92.4,99.7,54.1,45.9,15:55,14:48,30,24,165,47.3
461,Jordan Leopold,31,BUF,D,79,1266,1378,47.9,-3.1,939,1047,47.3,-3.8,9.1,92.3,101.5,52.5,47.5,22:22,18:02,14,40,222,49.5
462,Sami Lepisto,27,CHI,D,26,245,239,50.6,-1.5,175,186,48.5,-4.8,8.5,93.6,102.1,62.3,37.7,10:34,10:20,8,8,39,48.7
463,Kris Letang,24,PIT,D,51,1041,844,55.2,2.7,775,630,55.2,1.3,11.4,90.9,102.3,51.9,48.1,24:48,19:03,28,34,264,53.8
464,Mark Letestu,26,TOT,C,62,684,655,51.1,3.2,518,514,50.2,3.2,8.3,90.3,98.6,47.2,52.8,15:39,12:14,32,8,188,60.6
465,Pierre-Luc Letourneau-Leblond,26,CGY,RW,3,12,14,46.2,-18.5,10,11,47.6,-15.4,12.5,100.0,112.5,66.7,33.3,4:51,4:48,0,1,4,75.0
466,Trevor Lewis,25,LAK,C,72,683,617,52.5,-4.5,511,483,51.4,-5.0,4.2,94.3,98.4,51.2,48.8,13:03,11:07,25,20,180,55.6
467,Nicklas Lidstrom,41,DET,D,70,1338,1022,56.7,2.3,1047,794,56.9,2.2,8.5,92.9,101.4,57.0,43.0,23:46,18:23,27,23,311,47.6
468,John-Michael Liles,31,TOR,D,66,1058,1090,49.3,-1.1,775,795,49.4,0.4,7.8,89.6,97.5,52.1,47.9,21:21,17:35,16,51,238,44.5
469,Andreas Lilja,36,PHI,D,46,514,594,46.4,-8.6,397,433,47.8,-6.9,7.7,95.8,103.4,48.0,52.0,13:41,12:45,8,17,55,63.6
470,Joakim Lindstrom,28,COL,LW,16,160,182,46.8,-9.8,114,135,45.8,-8.6,6.7,86.7,93.4,65.0,35.0,13:55,11:38,9,2,49,44.9
471,Bryan Little,24,WPG,C,74,1238,1028,54.6,4.8,925,807,53.4,2.0,8.2,89.4,97.6,53.3,46.7,20:13,15:52,44,21,291,55.7
472,Andrei Loktionov,21,LAK,C,39,436,371,54.0,-1.0,320,299,51.7,-2.2,4.4,92.8,97.3,60.5,39.5,12:07,11:23,14,22,110,53.6
473,Matthew Lombardi,29,TOR,C,62,631,731,46.3,-3.4,460,545,45.8,-2.4,7.4,88.9,96.3,51.9,48.1,13:34,11:53,16,16,153,66.0
474,Ben Lovejoy,27,PIT,D,34,431,362,54.4,-0.5,332,266,55.5,0.6,6.1,93.8,99.9,58.1,41.9,13:15,12:40,1,8,100,48.0
475,Milan Lucic,23,BOS,LW,81,1296,1017,56.0,1.1,916,772,54.3,-0.7,9.9,89.8,99.7,56.2,43.8,17:02,14:47,25,46,275,54.2
476,Mike Lundin,27,MIN,D,17,226,323,41.2,-6.7,179,216,45.3,-1.5,7.6,92.6,100.2,36.4,63.6,20:12,17:07,0,4,26,34.6
477,Joffrey Lupul,28,TOR,C,66,1058,1098,49.1,-1.4,754,825,47.8,-3.0,11.4,89.5,100.8,55.7,44.3,18:37,15:19,26,41,342,55.8
478,Toni Lydman,34,ANA,D,74,936,1126,45.4,-6.1,701,815,46.2,-4.8,9.5,91.6,101.0,44.3,55.7,18:39,15:28,13,33,125,36.8
479,Clarke MacArthur,26,TOR,LW,73,999,939,51.5,2.2,683,700,49.4,-0.1,9.7,91.4,101.2,53.0,47.0,15:51,13:50,17,34,280,52.9
480,Lane MacDermid,22,BOS,D,5,33,35,48.5,-13.5,23,28,45.1,-14.5,5.3,85.0,90.3,66.7,33.3,8:54,8:46,1,0,6,100.0
481,Andrew MacDonald,25,NYI,D,75,1287,1448,47.1,-1.8,937,1005,48.2,-1.3,7.7,91.5,99.3,47.4,52.6,23:22,19:49,50,56,202,35.1
